video_id,title,published_at,views,likes,comments,duration,has_short_tag,url,engagement,engagement_rate
CLrtFQ4Ly78,Sarnath Uttar Pradesh #travel #rajraushanofficial #2026rajraushanofficial #rajraushanofficial #2026,2026-06-09 04:48:08+00:00,166,0,0,PT43S,False,https://www.youtube.com/watch?v=CLrtFQ4Ly78,0,0.0
x2vzW4_-RT4,Maa Tutla Bhavani vlog video 📸 2026 #rajraushanofficial #2026 ,2026-06-08 12:18:34+00:00,72,0,0,PT7M4S,False,https://www.youtube.com/watch?v=x2vzW4_-RT4,0,0.0
6UY-c-q4Ghg,Sarnath Deer 🦌 Park Uttar Pradesh tourist place #travel #rajraushanofficial #2026,2026-06-07 15:18:15+00:00,1164,0,0,PT22S,False,https://www.youtube.com/watch?v=6UY-c-q4Ghg,0,0.0
2kEL7GplmL8,"#2026 !! 𝐄𝐱𝐩𝐥𝐨𝐫𝐢𝐧𝐠 𝐏𝐢𝐥𝐨𝐭 𝐁𝐚𝐛𝐚 𝐀𝐬𝐡𝐫𝐚𝐦, 𝐒𝐚𝐬𝐚𝐫𝐚𝐦 | 𝐏𝐞𝐚𝐜𝐞𝐟𝐮𝐥 𝐒𝐩𝐢𝐫𝐢𝐭𝐮𝐚𝐥 𝐉𝐨𝐮𝐫𝐧𝐞𝐲 🙏",2026-06-07 01:23:21+00:00,7,0,0,PT7M4S,False,https://www.youtube.com/watch?v=2kEL7GplmL8,0,0.0
RGEWoP8gMaE,#rajraushanofficial,2026-06-06 14:32:43+00:00,592,0,0,PT38S,False,https://www.youtube.com/watch?v=RGEWoP8gMaE,0,0.0
rcAko8SR9RU,Bihar ----- Uttar Pradesh National Highway 🛣️ 2 #rajraushanofficial #2026rajraushanofficial #travel,2026-06-06 11:00:02+00:00,667,0,0,PT43S,False,https://www.youtube.com/watch?v=rcAko8SR9RU,0,0.0
fteUCZEVxQQ,🔥 #rajraushanofficial #travel,2026-06-04 16:35:43+00:00,780,0,0,PT27S,False,https://www.youtube.com/watch?v=fteUCZEVxQQ,0,0.0
8_0prvpEBC0,🫸Son nadi Short video 🫷      #travel #rajraushanofficial #2026rajraushanofficial #2026 Subscribe,2026-06-04 10:05:53+00:00,587,0,0,PT35S,False,https://www.youtube.com/watch?v=8_0prvpEBC0,0,0.0
bsac1US7NrY,New #2026 #rajraushanofficial #travel #2026rajraushanofficial,2026-06-04 03:24:21+00:00,101,0,0,PT24S,False,https://www.youtube.com/watch?v=bsac1US7NrY,0,0.0
rrl_uRMr4JI,Amazing Travel Experience | Raj Raushan Official #2026rajraushanofficial #rajraushantravelvlog #2026,2026-06-03 14:59:46+00:00,7,0,4,PT8M,False,https://www.youtube.com/watch?v=rrl_uRMr4JI,4,57.14
oy7EKxK1s8c,Travel Short video 📸 #rajraushanofficial #2026rajraushanofficial #rajraushantravelvlog #2026 #nature,2026-06-03 12:12:53+00:00,234,0,2,PT57S,False,https://www.youtube.com/watch?v=oy7EKxK1s8c,2,0.85
xzbbexx87rU,Maa Tutla Bhavani #rajraushanofficial #2026rajraushanofficial #travel #2026 #nature #travelvlog,2026-06-02 16:41:05+00:00,692,0,0,PT24S,False,https://www.youtube.com/watch?v=xzbbexx87rU,0,0.0
quPEhBfN3nQ,Indrapuri Travel shorts Video,2026-06-02 12:45:46+00:00,121,0,0,PT47S,False,https://www.youtube.com/watch?v=quPEhBfN3nQ,0,0.0
